Artist,Popularity,Count,Genre
Edward MacDowell,11,1,american romanticism
Amy Beach,0,1,american romanticism
Ethelbert Nevin,0,1,american romanticism
Lily Strickland,0,2,american romanticism
Richard S. Willis,28,1,american romanticism
Richard Storrs Willis,15,4,american romanticism
Stephen Foster,20,1,american romanticism
Luigi Denza,2.25,4,american romanticism
Adolphe Adam,25.72727273,11,american romanticism
Fromental Halévy,0,3,american romanticism
Giacomo Meyerbeer,0,1,american romanticism
Otto Nicolai,5.666666667,3,american romanticism
Gaetano Donizetti,3.03030303,66,american romanticism
Mikhail Glinka,0,2,american romanticism
Ambroise Thomas,0,3,american romanticism
Gustave Charpentier,0,1,american romanticism
Vincent d'Indy,0,14,american romanticism
Cécile Chaminade,38,1,american romanticism
Emmanuel Chabrier,7,12,american romanticism
Napoléon Coste,0,1,american romanticism
Édouard Lalo,2.517241379,29,american romanticism
Reynaldo Hahn,0.2,5,american romanticism
Émile Waldteufel,18.33333333,6,american romanticism
Camille Decreus,1,1,american romanticism
Paul Hillemacher,0,1,american romanticism
Friedrich von Flotow,1.166666667,6,american romanticism
Wilhelm Furtwängler,1.268156425,179,american romanticism
Josef Rheinberger,36,1,american romanticism
François Schubert,0,1,american romanticism
Peter Cornelius,0.6666666667,3,american romanticism
Serge Koussevitzky,4.157894737,19,american romanticism
Alfredo Catalani,1.875,8,american romanticism
Arrigo Boito,0,1,american romanticism
Francesco Cilea,0.875,16,american romanticism
Antonio Bazzini,2,1,american romanticism
Ernest Kohl,0,2,american romanticism
Ermanno Wolf-Ferrari,0,5,american romanticism
Arturo Buzzi-Peccia,0,2,american romanticism
Anton Arensky,34,1,american romanticism
Modest Mussorgsky,5.292929293,99,american romanticism
Alexander Glazunov,18.5,8,american romanticism
Anatoly Lyadov,9,2,american romanticism
Mikhail Ippolitov-Ivanov,14,1,american romanticism
Mily Balakirev,12.75,4,american romanticism
Alexander I,0,2,american romanticism
In The Heights' Original Broadway Company,52,3,broadway
Legally Blonde' Ensemble,51.66666667,3,broadway
42nd Street Ensemble,14.5,4,broadway
A. L. Lloyd,13.6,10,broadway
Aaron Tveit,50,1,broadway
Adam Pascal,44.22222222,9,broadway
Alain Boublil,34,1,broadway
Alan Cumming,34.83333333,6,broadway
Alan Menken,37.9625,80,broadway
Andrew Lloyd Webber,35.67777778,90,broadway
Andrew Rannells,53,2,broadway
Annaleigh Ashford,53,1,broadway
Annie Ensemble,30.38461538,13,broadway
Anthony Rapp,46,6,broadway
Anthony Rosenthal,33,1,broadway
Barbara Cook,11.74285714,35,broadway
Bebe Neuwirth,25.33333333,3,broadway
Ben Fankhauser,52,1,broadway
Bernadette Peters,26.5,18,broadway
Betsy Wolfe,17.8,20,broadway
Betty Buckley,34.16666667,6,broadway
Betty Comden,0,3,broadway
Billy Porter,45.5,4,broadway
Brandon Uranowitz,33,1,broadway
Brian Stokes Mitchell,26,4,broadway
Broadway Cast,0,2,broadway
Burton Lane,0.6666666667,3,broadway
Carrie Fletcher,39,1,broadway
Cast,35.5,4,broadway
Charles Strouse,23.06451613,31,broadway
Chita Rivera,10.66666667,12,broadway
Christian Borle,40.5,2,broadway
Claude-Michel Schönberg,28,5,broadway
Cy Coleman,21.71428571,7,broadway
Danny Burstein,1,2,broadway
Drey,0,2,broadway
Elaine Stritch,14.5,4,broadway
Ensemble - The Lion King,41.46666667,15,broadway
Faith Prince,30,2,broadway
Frances Ruffelle,31.6,10,broadway
Frank Loesser,3.5,6,broadway
Frederick Loewe,17.56756757,37,broadway
George Salazar,57,2,broadway
Gwen Verdon,16.54545455,11,broadway
Hunter Foster,49,2,broadway
J. Robert Spencer,3,1,broadway
Jay Jay Johnson,0,1,broadway
Jay Johnson,0,2,broadway
Jeremy Jordan,51.33333333,3,broadway
Jerry Herman,24.4,10,broadway
Jerry Orbach,26.8,5,broadway
Joel Grey,29.35714286,14,broadway
John Cullum,20,1,broadway
John Gallagher Jr.,57,1,broadway
Kate Shindle,53,1,broadway
Keala Settle,74.33333333,3,broadway
Kristin Chenoweth,48.83333333,6,broadway
Laura Bell Bundy,48.83333333,6,broadway
Laura Dreyfuss,62.33333333,3,broadway
Len Cariou,26.58333333,12,broadway
Leslie Bricusse,28.8,5,broadway
Leslie Kritzer,53,2,broadway
Lindsay Mendez,52,1,broadway
Lionel Bart,17,3,broadway
Mandy Gonzalez,52,2,broadway
Mandy Patinkin,24.70588235,17,broadway
Marvin Hamlisch,19.04761905,21,broadway
Mary Martin,3.893617021,47,broadway
Matthew Morrison,40,1,broadway
Maury Yeston,23,1,broadway
Mel Brooks,3.964285714,28,broadway
Mitch Leigh,11,2,broadway
Natasha Richardson,35.75,4,broadway
Nathan Lane,34.5,4,broadway
Newsies Original Broadway Cast,52,2,broadway
Original Broadway Cast,24.4,5,broadway
Original Broadway Cast of Dear Evan Hansen,61.5,4,broadway
Original Broadway Cast of Hamilton,67.67741935,62,broadway
Oscar Hammerstein II,12.42105263,19,broadway
Pascal,0,2,broadway
Patti LuPone,24.16666667,6,broadway
Peter Gallagher,33,1,broadway
Raúl Esparza,28,1,broadway
Rebecca Luker,30,1,broadway
Rebecca Naomi Jones,57,1,broadway
Richard M. Sherman,40,2,broadway
Richard Rodgers,5.651162791,129,broadway
Robert Preston,29.75,12,broadway
Robert Westenberg,29.16666667,6,broadway
Santino Fontana,70,2,broadway
Sherie Rene Scott,35,2,broadway
Sherman Edwards,20.41666667,12,broadway
Stark Sands,57,1,broadway
Stephanie D'Abruzzo,45,2,broadway
Stephanie J. Block,33,1,broadway
Stephen Sondheim,23.78571429,42,broadway
Steve Kazee,64,2,broadway
Susan Egan,48.6,5,broadway
Sutton Foster,40.33333333,3,broadway
Terrence Mann,34.33333333,15,broadway
The Heights,51,2,broadway
The Original,3,2,broadway
Tom Wopat,47,2,broadway
West Side Story Ensemble,15.08333333,12,broadway
Will Roland,63,3,broadway
Zachary Levi,68,3,broadway
matthew james,1,2,broadway
2000F & J Kamata,1,2,classical
A. R. Qureshi,0,16,classical
APO Hiking Society,40.75,28,classical
Aaron Copland,7.775193798,129,classical
Aarti Mukherji,6.222222222,9,classical
Academy of Ancient Music,46.90909091,11,classical
Academy of St. Martin in the Fields,32.42391304,92,classical
Ace Spectrum,19,2,classical
Adam Johnson,0,1,classical
Adolf Dallapozza,24,1,classical
Adolph Deutsch,5.935483871,31,classical
Adrenalize,3.666666667,3,classical
Adrianne Pieczonka,46,1,classical
Adrienne Albert,0,9,classical
Adrián Patiño,0,6,classical
Aegis,48,2,classical
Agnes Baltsa,37,2,classical
Agnes Giebel,0,2,classical
Agustín Barrios Mangoré,34.33333333,3,classical
Al Green,36.07042254,142,classical
Al Hug,4,2,classical
Al Wilson,46,2,classical
Alain Planes,62,4,classical
Alan Gilbert,0.9166666667,12,classical
Alan Howarth,30,4,classical
Alban Berg,1.833333333,12,classical
Alban Berg Quartett,38,2,classical
Albert Lortzing,0,3,classical
Alberto Ginastera,2,1,classical
Alda Noni,0,2,classical
Aldo Ciccolini,42,2,classical
Aldo Protti,0.15,20,classical
Alen,1,2,classical
Alena,18,2,classical
Alena Cherny,63,2,classical
Alessandro Corbelli,32,1,classical
Alessandro Scarlatti,18.5,2,classical
Alessio Bax,62,2,classical
Alexander Baillie,0,1,classical
Alexander Borodin,22,17,classical
Alexander Courage,18,1,classical
Alexander Gretchaninov,0.5,2,classical
Alexander Kipnis,0,1,classical
Alexander Malter,53,2,classical
Alexander Scriabin,3.894308943,123,classical
Alexandre Tansman,2.5,2,classical
Alexandre Tharaud,47,10,classical
Alexei Lubimov,47,2,classical
Alexis Weissenberg,49.75,8,classical
Alfonso X El Sabio,0,1,classical
Alfred Brendel,35.8125,16,classical
Alfred Cortot,1.548387097,124,classical
Alfred Deller,10.33333333,3,classical
Alfred Newman,1,115,classical
Alfred Prinz,46,1,classical
Alfredo Casella,0,1,classical
Ali Akbar Khan,40,2,classical
Alicia de Larrocha,29.14285714,7,classical
Alirio Díaz,20,2,classical
Alla Rakha,0,2,classical
Althea Waites,40,2,classical
Amadeus Quartet,0,30,classical
Amilcare Ponchielli,1.8125,32,classical
Amir Khan,6.4,5,classical
Amirbai Karnataki,0.1361867704,257,classical
Amit Kumar,33.44444444,9,classical
Amitabh Bachchan,32.08333333,12,classical
Amsterdam Baroque Orchestra,27.1,20,classical
Ana Olgica,66,2,classical
Anders Eliasson,0,1,classical
Andre de Ridder,56,2,classical
Andrea Rost,0,1,classical
Andrea Tarrodi,0,1,classical
Andreas Haefliger,11,2,classical
Andreas Scholl,50,2,classical
Andrew Litton,38,2,classical
Andrew Manze,48.5,4,classical
András Ligeti,43,6,classical
András Schiff,32.28571429,28,classical
André Laplante,44,8,classical
Andrés Segovia,2.344680851,235,classical
Angel Romero,30,2,classical
Angela Brownridge,43,2,classical
Angela Gheorghiu,50,1,classical
Anil Biswas,0.1904761905,21,classical
Ann Peebles,34.36842105,38,classical
Ann Sexton,3,2,classical
Anna Moffo,22.4,5,classical
